Foundation URI,Linearization URI,Code,Title,ClassKind,DepthInKind,IsResidual,ChapterNo,BrowserLink,isLeaf,Primary tabulation,Grouping1,Grouping2,Grouping3,Grouping4,Grouping5,Version:2025 Jan 24 - 22:30 UTC
http://id.who.int/icd/entity/326384712,http://id.who.int/icd/release/11/mms/326384712,EK02.22,Irritant contact dermatitis due to incontinence,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/2058595636,http://id.who.int/icd/release/11/mms/2058595636,EK02.23,Irritant contact dermatitis related to stoma or fistula,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/167584116,http://id.who.int/icd/release/11/mms/167584116,EK02.24,Irritant contact dermatitis related to skin contact with prostheses or surgical appliances,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/195009390/other,EK02.Y,Irritant contact dermatitis due to other specified cause,category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/195009390/unspecified,EK02.Z,"Irritant contact dermatitis, unspecified",category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1674422101,http://id.who.int/icd/release/11/mms/1674422101,EK10,Allergic contact Urticaria,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/67208630,http://id.who.int/icd/release/11/mms/67208630,EK10.0,oral allergy syndrome,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/520397021,http://id.who.int/icd/release/11/mms/520397021,EK10.1,contact Urticaria due to food allergen,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/1674422101/other,EK10.Y,other specified Allergic contact Urticaria,category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/1674422101/unspecified,EK10.Z,"Allergic contact Urticaria, unspecified",category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/144637523,http://id.who.int/icd/release/11/mms/144637523,EK11,Protein contact dermatitis,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1017692834,http://id.who.int/icd/release/11/mms/1017692834,EK12,Allergic contact sensitisation,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1695649400,http://id.who.int/icd/release/11/mms/1695649400,BlockL2-EK2,Phototoxic reactions to skin contact with photoactive agents,block,2,FALSE,14,browser,FALSE,,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1028725864,http://id.who.int/icd/release/11/mms/1028725864,EK20,Phototoxic reaction to fragrance or cosmetics,category,1,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,BlockL2-EK2,,,,
,http://id.who.int/icd/release/11/mms/1695649400/other,EK2Y,Phototoxic reaction to skin contact with other specified photoactive agent,category,1,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,BlockL2-EK2,,,,
,http://id.who.int/icd/release/11/mms/1695649400/unspecified,EK2Z,"Phototoxic dermatitis, unspecified",category,1,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,BlockL2-EK2,,,,
http://id.who.int/icd/entity/941793054,http://id.who.int/icd/release/11/mms/941793054,EK50,Cutaneous reactions to venomous or noxious animals,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/2001301681,http://id.who.int/icd/release/11/mms/2001301681,EK50.0,Cutaneous insect bite reactions,category,2,FALSE,14,browser,FALSE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1014677494,http://id.who.int/icd/release/11/mms/1014677494,EK50.00,Papular Urticaria,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1907591238,http://id.who.int/icd/release/11/mms/1907591238,EK50.01,Bullous insect bite reaction,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1476767953,http://id.who.int/icd/release/11/mms/1476767953,EK50.02,Persistent insect bite reaction,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/2001301681/other,EK50.0Y,other specified Cutaneous insect bite reactions,category,3,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/2001301681/unspecified,EK50.0Z,"Cutaneous insect bite reactions, unspecified",category,3,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
,http://id.who.int/icd/release/11/mms/1223380074/other,EK5Y,other specified skin disorders provoked by external factors,category,1,TRUE,14,browser,TRUE,TRUE,BlockL1-EH9,,,,,
http://id.who.int/icd/entity/1397253045,http://id.who.int/icd/release/11/mms/1397253045,BlockL1-EK7,"Benign proliferations, Neoplasms and cysts of the skin",block,1,FALSE,14,browser,FALSE,,,,,,,
http://id.who.int/icd/entity/828658864,http://id.who.int/icd/release/11/mms/828658864,EK70,Cutaneous cysts,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/1840564352,http://id.who.int/icd/release/11/mms/1840564352,EK70.0,Epidermoid cyst,category,2,FALSE,14,browser,FALSE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/1400386155,http://id.who.int/icd/release/11/mms/1400386155,EK70.00,Infected Epidermoid cyst,category,3,FALSE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
,http://id.who.int/icd/release/11/mms/1840564352/unspecified,EK70.0Z,"Epidermoid cyst, unspecified",category,3,TRUE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/150930710,http://id.who.int/icd/release/11/mms/150930710,EK70.1,Trichilemmal cyst,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/1510798426,http://id.who.int/icd/release/11/mms/1510798426,EK70.2,Digital myxoid pseudocyst,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/2040265542,http://id.who.int/icd/release/11/mms/2040265542,EK70.3,Hidrocystoma,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
,http://id.who.int/icd/release/11/mms/828658864/other,EK70.Y,other specified Cutaneous cysts,category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
,http://id.who.int/icd/release/11/mms/828658864/unspecified,EK70.Z,"Cutaneous cysts, unspecified",category,2,TRUE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/1834683622,http://id.who.int/icd/release/11/mms/1834683622,EK71,skin tags or Polyps,category,1,FALSE,14,browser,FALSE,TRUE,BlockL1-EK7,,,,,
http://id.who.int/icd/entity/142647635,http://id.who.int/icd/release/11/mms/142647635,EK71.0,fibroepithelial Polyp of skin,category,2,FALSE,14,browser,TRUE,TRUE,BlockL1-EK7,,,,,
